day,ja,dcera
1. den,"koření neomezeně – kari, kurkuma, sladká paprika, pepř… ideálně vystřídat více druhů koření",
2. den,"koření neomezeně – kari, kurkuma, sladká paprika, pepř… ideálně vystřídat více druhů koření",špetka sladké papriky/kari/kurkumy
3. den,"koření neomezeně – kari, kurkuma, sladká paprika, pepř… ideálně vystřídat více druhů koření",špetka sladké papriky/kari/kurkumy
