day,ja,dcera
1. den,,
2. den,maliny po 4 dny v neomezeném množství,2 maliny
3. den,maliny po 4 dny v neomezeném množství,3–5 malin
4. den,maliny po 4 dny v neomezeném množství,neomezeně
