day,ja,dcera
1. den,1 polévková lžíce semínek (chia/sezamových/slunečnicových),
2. den,semínka neomezeně,
3. den,1 kousek makovce/1 polévková lžíce máku či makového mléka,
4. den,makovec neomezeně,
