day,ja,dcera
1. den,2 kostičky hořké čokolády,
2. den,6 kostiček hořké čokolády,½ lžičky kakaa (do kaše)
3. den,neomezeně,1–1 ½ lžičky kakaa
4. den,neomezeně,neomezeně
