day,ja,dcera
1. den,,
2. den,jahody po 4 dny v neomezeném množství,½ jahody
3. den,jahody po 4 dny v neomezeném množství,1 jahoda
4. den,jahody po 4 dny v neomezeném množství,neomezeně
